Country Name,Year,GDP growth,Trade ,Total natural resources rents,Population growth
Saudi Arabia,2007,2.213617148,94.8633171,48.47256765,4.149451092
Saudi Arabia,2008,6.238020047,96.10263087,55.02442895,4.028756558
Saudi Arabia,2009,-1.06671,84.85834156,35.7727356,3.91489466
Saudi Arabia,2010,5.039492843,82.54977718,38.88346816,-0.992481797
Saudi Arabia,2011,10.99376168,84.86139246,50.2036438,4.538671636
Saudi Arabia,2012,5.408916078,82.85043838,48.50070976,4.202642275
Saudi Arabia,2013,2.534778271,81.91721094,45.53092748,5.411491241
Saudi Arabia,2014,3.811422791,79.56164872,41.33843001,2.450431393
Saudi Arabia,2015,4.509059063,69.50388876,24.85530453,5.186855519
Saudi Arabia,2016,1.884492736,59.90542543,20.73499599,3.745065405
Saudi Arabia,2017,0.911048656,61.81431656,24.48655576,0.074782562
Saudi Arabia,2018,3.19922678,61.95558053,29.27074181,-2.553768258
Saudi Arabia,2019,1.09773375,60.19818623,25.45316774,-0.439701419
Saudi Arabia,2020,-3.581534863,49.71347553,17.31842703,4.833138517
Saudi Arabia,2021,5.07511035,57.14281356,25.56524182,-2.464562615
Iraq,2000,16.79613444,125.3365956,48.85878304,3.277527852
Iraq,2001,1.766608766,126.780256,49.56530176,3.11897283
Iraq,2002,-8.203704812,119.7620477,46.97210573,3.159049888
Iraq,2003,-36.65678044,154.2345253,53.29809161,3.015232358
Iraq,2004,53.38554729,120.2339771,64.77575323,2.851283058
Iraq,2005,1.675228636,115.7425403,65.3184968,2.963743471
Iraq,2006,5.638299152,89.65051986,63.72695265,0.733263441
Iraq,2007,1.888539362,74.09285311,53.21669111,-0.78904254
Iraq,2008,8.228107104,81.05554327,55.68572884,2.020299895
Iraq,2009,3.379299094,78.68737882,39.5126626,3.683912963
Iraq,2010,6.402564845,73.49747962,43.56828994,3.231385218
Iraq,2011,7.5464712,72.17132822,51.19454041,3.531816785
Iraq,2012,13.93643017,73.60868459,49.85101765,4.538921682
Iraq,2013,7.628285923,67.41001841,45.57936658,4.721566834
Iraq,2014,2.263688176,68.98248686,46.85439615,3.531019332
Iraq,2015,2.606766429,69.5917686,37.50371721,2.727109769
Iraq,2016,13.78737302,54.58832019,33.21892172,2.391512274
Iraq,2017,-1.819750351,59.78091239,39.20055423,2.230550464
Iraq,2018,2.633850991,65.80179177,46.14778691,2.332357697
Iraq,2019,5.513790575,68.98993842,40.6099024,2.275011157
Iraq,2020,-12.03679309,57.7423164,27.41701319,2.219386695
Iraq,2021,1.50218071,61.50326831,43.44585769,2.241273471
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 06/05/2025,,,,,
